DEWPOINT °C @ 1 Bar,VAPOUR PRESSURE pascals,PPM VOLUME,RELATIVE HUMADITY % AT 21 °C,PPM WEIGHT in air,PPM WEIGHT in carbon dioxide,deg °C @ 8 barg,deg °C @ 9 barg,deg °C @ 56 barg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-100,,0.01,,0.008,0.006,-88.6,-88,-77.8,10 Moisture Tables,MOISTURE CONTROL & MEASUREMENT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-99,,0.02,,0.01,0.007,-87.5,-86.9,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-98,,0.02,,0.01,0.008,-86.3,-85.7,-75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-97,,0.02,,0.02,0.01,-85.2,-84.6,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-96,,0.034,,0.02,0.01,-84,-83.4,-72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-95,,0.04,,0.02,0.01,-82.9,-82.3,-71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-94,,0.04,,0.03,0.02,-81.8,-81.1,-70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-93,,0.05,,0.03,0.02,-80.6,-80,-68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-92,,0.06,,0.04,0.03,-79.5,-78.8,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-91,,0.08,,0.05,0.03,-78.3,-77.7,-66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-90,0.009688,0.0958,0.000389,0.05947,0.0392,-77.2,-76.5,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-89,0.01162,0.115,0.000467,0.07133,0.0470,-76.0,-75.4,-63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-88,0.01391,0.138,0.000559,0.08538,0.0563,-74.9,-74.2,-62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-87,0.01661,0.164,0.000668,0.1020,0.0672,-73.8,-73.1,-61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-86,0.01981,0.196,0.000796,0.1216,0.0801,-72.6,-71.9,-59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85,0.02357,0.233,0.000948,0.1447,0.0954,-71.5,-70.8,-58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84,0.02800,0.277,0.00113,0.1719,0.113,-70.3,-69.6,-57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83,0.03321,0.329,0.00134,0.2039,0.134,-69.2,-68.4,-55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82,0.03931,0.389,0.00158,0.2413,0.159,-68,-67.3,-54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81,0.04646,0.459,0.00187,0.2852,0.188,-66.9,-66.1,-53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80,0.05481,0.542,0.00220,0.3364,0.222,-65.7,-65,-51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79,0.06455,0.638,0.00260,0.3962,0.261,-64.5,-63.8,-50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78,0.07589,0.750,0.00305,0.4658,0.307,-63.4,-62.6,-49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77,0.08909,0.881,0.00358,0.5469,0.360,-62.2,-61.5,-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76,0.1044,1.03,0.00420,0.6408,0.422,-61.1,-60.3,-46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75,0.1222,1.21,0.00491,0.7501,0.494,-59.9,-59.1,-45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74,0.1427,1.41,0.00574,0.8759,0.577,-58.8,-58,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73,0.1665,1.65,0.00669,1.022,0.674,-57.6,-56.8,-42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72,0.1939,1.92,0.00779,1.190,0.784,-56.4,-55.6,-41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71,0.2255,2.23,0.00907,1.384,0.912,-55.3,-54.5,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70,0.2619,2.59,0.0105,1.608,1.06,-54.1,-53.3,-38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-69,0.3037,3.00,0.0122,1.864,1.23,-52.9,-52.1,-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-68,0.3517,3.48,0.0141,2.159,1.42,-51.8,-50.9,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-67,0.4066,4.02,0.0163,2.496,1.65,-50.6,-49.8,-34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-66,0.4695,4.64,0.0189,2.882,1.9,-49.5,-48.6,-33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-65,0.5414,5.35,0.0218,3.323,2.19,-48.3,-47.4,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-64,0.6235,6.17,0.0251,3.827,2.52,-47.1,-46.2,-30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-63,0.7170,7.09,0.0288,4.401,2.9,-45.9,-45.1,-29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62,0.8235,8.14,0.0331,5.055,3.33,-44.8,-43.9,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61,0.9445,9.34,0.0380,5.798,3.82,-44.6,-42.7,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60,1.082,10.7,0.0435,6.642,4.38,-42.4,-41.5,-25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59,1.238,12.2,0.0498,7.599,5.01,-41.3,-40.3,-23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58,1.415,14.0,0.0569,8.686,5.72,-40.1,-39.2,-22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57,1.615,16.0,0.0649,9.914,6.53,-38.9,-38.0,-21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-56,1.840,18.2,0.0740,11.29,7.44,-37.7,-36.8,-19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-55,2.095,20.7,0.0842,12.86,8.48,-36.6,-35.6,-18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-54,2.383,23.6,0.0958,14.63,9.64,-35.4,-34.4,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-53,2.707,26.8,0.109,16.62,11.0,-34.2,-33.2,-15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-52,3.071,30.4,0.123,18.85,12.4,-33,-32,-14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-51,3.481,34.4,0.140,21.37,14.1,-31.9,-30.9,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50,3.940,39.0,0.158,24.19,15.9,-30.7,-29.7,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49,4.456,44.1,0.179,27.35,18,-29.5,-28.5,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48,5.033,49.8,0.202,30.90,20.4,-28.3,-27.3,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47,5.679,56.2,0.228,34.86,23.0,-27.1,-26.1,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46,6.401,63.3,0.257,39.29,25.9,-25.9,-24.9,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45,7.208,71.3,0.29,44.25,29.2,-24.8,-23.7,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44,8.107,80.2,0.326,49.77,32.8,-23.6,-22.5,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43,9.110,90.1,0.366,55.93,36.9,-22.4,-21.3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42,10.23,101,0.411,62.81,41.4,-21.2,-20.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41,11.47,113,0.461,70.42,46.4,-20,-18.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40,12.85,127,0.517,78.89,52.0,-18.8,-17.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39,14.38,142,0.578,88.28,58.2,-17.6,-16.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38,16.08,159,0.646,98.72,65.1,-16.4,-15.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,17.96,178,0.722,110.3,72.7,-15.2,-14.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36,20.05,198,0.806,123.1,81.1,-14,-12.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35,22.36,221,0.899,137.3,90.5,-12.8,-11.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34,24.91,246,1.00,152.9,101,-11.7,-10.50,12.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33,27.72,274,1.11,170.2,112,-10.5,-9.3,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32,30.83,305,1.24,189.3,125,-9.3,-8.1,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31,34.25,339,1.38,210.3,139,-8.1,-6.9,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30,38.02,376,1.53,233.5,154,-6.9,-5.6,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29,42.17,417,1.7,259.0,171,,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28,46.74,462,1.88,287.0,189,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27,51.75,512,2.08,317.0,209,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26,57.26,567,2.3,351.7,232,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25,63.30,626,2.54,388.8,256,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24,69.92,692,2.81,429.5,283,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23,77.17,764,3.1,474.1,312,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22,85.11,842,3.42,522.9,345,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21,93.79,928,3.77,576.3,380,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,103.3,1020,4.15,634.7,418,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19,113.6,1120,4.57,698.1,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,124.9,1240,5.02,767.6,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17,137.3,1360,5.52,843.9,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16,150.7,1490,6.06,926.4,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,165.3,1640,6.65,1016,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14,181.2,1790,7.28,1114,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13,198.5,1970,7.98,1221,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12,217.3,2150,8.74,1337,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11,237.8,2360,9.56,1463,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,259.9,2580,10.4,1599,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,284.0,2820,11.4,1748,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,310.0,3080,12.5,1909,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,338.2,3360,13.6,2083,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,368.7,3660,14.8,2272,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
